Road user type,Age group,allCas,Month
Car drivers,16 to 59,106265,2005
Car drivers,16 to 59,102071,2006
Car drivers,16 to 59,96595,2007
Car drivers,16 to 59,88682,2008
Car drivers,16 to 59,84634,2009
Car drivers,16 to 59,78241,2010
Car drivers,16 to 59,72941,2011
Car drivers,16 to 59,69716,2012
Car drivers,16 to 59,64082,2013
Car drivers,16 to 59,66961,2014
Car drivers,16 to 59,65249,2015
Car drivers,16 to 59,63357,2016
Car drivers,16 to 59,57916,2017
Car drivers,16 to 59,53985,2018
Car drivers,16 to 59,51503,2019
Car drivers,16 to 59,38489,2020
