Driver type,Sex,Age group ,severity,year,result
Pedal cyclists,Female,Under 16,FSC (unadjusted),2012,48
Pedal cyclists,Female,Under 16,FSC (unadjusted),2013,42
Pedal cyclists,Female,Under 16,FSC (unadjusted),2014,40
Pedal cyclists,Female,Under 16,FSC (unadjusted),2015,39
Pedal cyclists,Female,Under 16,FSC (unadjusted),2016,38
Pedal cyclists,Female,Under 16,FSC (unadjusted),2017,48
Pedal cyclists,Female,Under 16,FSC (unadjusted),2018,28
Pedal cyclists,Female,Under 16,FSC (unadjusted),2019,44
Pedal cyclists,Female,Under 16,FSC (unadjusted),2020,35
Pedal cyclists,Female,Under 16,FSC (unadjusted),2021,51
Pedal cyclists,Female,16,FSC (unadjusted),2012,4
Pedal cyclists,Female,16,FSC (unadjusted),2013,7
Pedal cyclists,Female,16,FSC (unadjusted),2014,11
Pedal cyclists,Female,16,FSC (unadjusted),2015,4
Pedal cyclists,Female,16,FSC (unadjusted),2016,6
Pedal cyclists,Female,16,FSC (unadjusted),2017,5
Pedal cyclists,Female,16,FSC (unadjusted),2018,5
Pedal cyclists,Female,16,FSC (unadjusted),2019,5
Pedal cyclists,Female,16,FSC (unadjusted),2020,7
Pedal cyclists,Female,16,FSC (unadjusted),2021,5
Pedal cyclists,Female,17-20,FSC (unadjusted),2012,32
Pedal cyclists,Female,17-20,FSC (unadjusted),2013,31
Pedal cyclists,Female,17-20,FSC (unadjusted),2014,29
Pedal cyclists,Female,17-20,FSC (unadjusted),2015,26
Pedal cyclists,Female,17-20,FSC (unadjusted),2016,19
Pedal cyclists,Female,17-20,FSC (unadjusted),2017,27
Pedal cyclists,Female,17-20,FSC (unadjusted),2018,27
Pedal cyclists,Female,17-20,FSC (unadjusted),2019,33
Pedal cyclists,Female,17-20,FSC (unadjusted),2020,30
Pedal cyclists,Female,17-20,FSC (unadjusted),2021,20
Pedal cyclists,Female,21-24,FSC (unadjusted),2012,36
Pedal cyclists,Female,21-24,FSC (unadjusted),2013,44
Pedal cyclists,Female,21-24,FSC (unadjusted),2014,57
Pedal cyclists,Female,21-24,FSC (unadjusted),2015,44
Pedal cyclists,Female,21-24,FSC (unadjusted),2016,46
Pedal cyclists,Female,21-24,FSC (unadjusted),2017,45
Pedal cyclists,Female,21-24,FSC (unadjusted),2018,50
Pedal cyclists,Female,21-24,FSC (unadjusted),2019,40
Pedal cyclists,Female,21-24,FSC (unadjusted),2020,51
Pedal cyclists,Female,21-24,FSC (unadjusted),2021,50
Pedal cyclists,Female,25-29,FSC (unadjusted),2012,92
Pedal cyclists,Female,25-29,FSC (unadjusted),2013,86
Pedal cyclists,Female,25-29,FSC (unadjusted),2014,69
Pedal cyclists,Female,25-29,FSC (unadjusted),2015,71
Pedal cyclists,Female,25-29,FSC (unadjusted),2016,64
Pedal cyclists,Female,25-29,FSC (unadjusted),2017,73
Pedal cyclists,Female,25-29,FSC (unadjusted),2018,95
Pedal cyclists,Female,25-29,FSC (unadjusted),2019,83
Pedal cyclists,Female,25-29,FSC (unadjusted),2020,101
Pedal cyclists,Female,25-29,FSC (unadjusted),2021,100
Pedal cyclists,Female,30-39,FSC (unadjusted),2012,125
Pedal cyclists,Female,30-39,FSC (unadjusted),2013,123
Pedal cyclists,Female,30-39,FSC (unadjusted),2014,133
Pedal cyclists,Female,30-39,FSC (unadjusted),2015,107
Pedal cyclists,Female,30-39,FSC (unadjusted),2016,115
Pedal cyclists,Female,30-39,FSC (unadjusted),2017,146
Pedal cyclists,Female,30-39,FSC (unadjusted),2018,133
Pedal cyclists,Female,30-39,FSC (unadjusted),2019,145
Pedal cyclists,Female,30-39,FSC (unadjusted),2020,126
Pedal cyclists,Female,30-39,FSC (unadjusted),2021,135
Pedal cyclists,Female,40-49,FSC (unadjusted),2012,112
Pedal cyclists,Female,40-49,FSC (unadjusted),2013,114
Pedal cyclists,Female,40-49,FSC (unadjusted),2014,128
Pedal cyclists,Female,40-49,FSC (unadjusted),2015,125
Pedal cyclists,Female,40-49,FSC (unadjusted),2016,124
Pedal cyclists,Female,40-49,FSC (unadjusted),2017,130
Pedal cyclists,Female,40-49,FSC (unadjusted),2018,125
Pedal cyclists,Female,40-49,FSC (unadjusted),2019,134
Pedal cyclists,Female,40-49,FSC (unadjusted),2020,130
Pedal cyclists,Female,40-49,FSC (unadjusted),2021,133
Pedal cyclists,Female,50-59,FSC (unadjusted),2012,95
Pedal cyclists,Female,50-59,FSC (unadjusted),2013,95
Pedal cyclists,Female,50-59,FSC (unadjusted),2014,104
Pedal cyclists,Female,50-59,FSC (unadjusted),2015,101
Pedal cyclists,Female,50-59,FSC (unadjusted),2016,125
Pedal cyclists,Female,50-59,FSC (unadjusted),2017,135
Pedal cyclists,Female,50-59,FSC (unadjusted),2018,152
