Road user type,Age group,Killed,Ksi,allCasualties,Injured,All,Month
Car drivers,16 to 59,886,11924,106265,11924,38489,2005
Car drivers,16 to 59,855,11550,102071,11550,41818,2006
Car drivers,16 to 59,751,10621,96595,10621,51503,2007
Car drivers,16 to 59,670,9727,88682,9727,53985,2008
Car drivers,16 to 59,553,9045,84634,9045,57916,2009
Car drivers,16 to 59,420,7917,78241,7917,63357,2010
Car drivers,16 to 59,459,7476,72941,7476,64082,2011
Car drivers,16 to 59,380,7137,69716,7137,65249,2012
Car drivers,16 to 59,382,6659,64082,6659,66961,2013
Car drivers,16 to 59,385,6953,66961,6953,69716,2014
Car drivers,16 to 59,377,6696,65249,6696,72941,2015
Car drivers,16 to 59,385,6465,63357,6465,78241,2016
Car drivers,16 to 59,389,6111,57916,6111,84634,2017
Car drivers,16 to 59,366,6182,53985,6182,88682,2018
Car drivers,16 to 59,304,6103,51503,6103,96595,2019
Car drivers,16 to 59,322,4834,38489,4834,102071,2020
