Year,Road user type,Age group,Killed,KSI (unadjusted),KSI (adjusted) ,All casualties
2004,Pedestrians,0 to 15 (children),77,"2,339","3,503","12,234"
2005,Pedestrians,0 to 15 (children),63,"2,134","3,197","11,250"
2006,Pedestrians,0 to 15 (children),71,"2,025","2,945","10,131"
2007,Pedestrians,0 to 15 (children),57,"1,899","2,742","9,527"
2008,Pedestrians,0 to 15 (children),57,"1,784","2,539","8,648"
2009,Pedestrians,0 to 15 (children),37,"1,660","2,350","7,983"
2010,Pedestrians,0 to 15 (children),26,"1,646","2,329","7,929"
2011,Pedestrians,0 to 15 (children),33,"1,602","2,287","2,287"
2012,Pedestrians,0 to 15 (children),20,"1,545","2,143","6,999"
2013,Pedestrians,0 to 15 (children),26,"1,356","1,901","6,396"
2014,Pedestrians,0 to 15 (children),29,"1,378","1,932","6,481"
2015,Pedestrians,0 to 15 (children),25,"1,282","1,807","6,317"
2016,Pedestrians,0 to 15 (children),34,"1,260","1,643","5,998"
2017,Pedestrians,0 to 15 (children),22,"1,263","1,551","5,838"
2018,Pedestrians,0 to 15 (children),28,"1,292","1,564","5,426"
2019,Pedestrians,0 to 15 (children),18,"1,239","1,456","5,200"
2020,Pedestrians,0 to 15 (children),22,883,"1,004","3,487"
2021,Pedestrians,0 to 15 (children),17,"1,154","1,269","4,301"
2004,Pedestrians,16 to 59,323,"3,526","5,242","16,782"
2005,Pedestrians,16 to 59,337,"3,419","5,064","16,296"
2006,Pedestrians,16 to 59,334,"3,455","4,954","15,515"
2007,Pedestrians,16 to 59,304,"3,397","4,835","15,362"
2008,Pedestrians,16 to 59,272,"3,275","4,625","14,832"
2009,Pedestrians,16 to 59,256,"2,934","4,253","14,251"
2010,Pedestrians,16 to 59,224,"2,699","3,961","13,718"
2011,Pedestrians,16 to 59,236,"2,897","4,162","13,889"
2012,Pedestrians,16 to 59,217,"3,006","4,258","13,737"
2013,Pedestrians,16 to 59,226,"2,721","3,929","13,349"
2014,Pedestrians,16 to 59,226,"2,624","3,862","13,616"
2015,Pedestrians,16 to 59,210,"2,633","3,777","13,227"
2016,Pedestrians,16 to 59,227,"2,714","3,560","12,947"
2017,Pedestrians,16 to 59,232,"3,134","3,703","13,495"
2018,Pedestrians,16 to 59,224,"3,197","3,739","12,457"
2019,Pedestrians,16 to 59,237,"3,281","3,697","12,209"
2020,Pedestrians,16 to 59,180,"2,232","2,474","8,276"
2021,Pedestrians,16 to 59,202,"2,562","2,790","9,199"
2004,Pedestrians,60 and over,266,"1,479","2,002","4,622"
2005,Pedestrians,60 and over,267,"1,428","1,928","4,429"
2006,Pedestrians,60 and over,268,"1,439","1,903","4,259"
2007,Pedestrians,60 and over,281,"1,503","1,958","4,314"
2008,Pedestrians,60 and over,243,"1,449","1,875","4,181"
2009,Pedestrians,60 and over,207,"1,361","1,776","3,997"
2010,Pedestrians,60 and over,155,"1,175","1,546","3,602"
2011,Pedestrians,60 and over,184,"1,330","1,735","3,913"
2012,Pedestrians,60 and over,183,"1,367","1,784","3,952"
2013,Pedestrians,60 and over,146,"1,242","1,648","3,776"
2014,Pedestrians,60 and over,191,"1,446","1,865","4,127"
2015,Pedestrians,60 and over,173,"1,350","1,764","4,013"
2016,Pedestrians,60 and over,186,"1,496","1,822","4,184"
2017,Pedestrians,60 and over,216,"1,591","1,799","4,128"
2018,Pedestrians,60 and over,204,"1,673","1,898","4,196"
2019,Pedestrians,60 and over,215,"1,644","1,805","3,964"
2020,Pedestrians,60 and over,144,"1,111","1,217","2,709"
2021,Pedestrians,60 and over,142,"1,203","1,292","2,837"
2004,Pedal cyclists,0 to 15 (children),25,577,906,"4,682"
2005,Pedal cyclists,0 to 15 (children),20,527,824,"4,286"
2006,Pedal cyclists,0 to 15 (children),31,503,761,"3,765"
2007,Pedal cyclists,0 to 15 (children),13,522,768,"3,633"
2008,Pedal cyclists,0 to 15 (children),12,417,643,"3,306"
2009,Pedal cyclists,0 to 15 (children),14,458,675,"3,204"
2010,Pedal cyclists,0 to 15 (children),7,398,604,"2,828"
2011,Pedal cyclists,0 to 15 (children),6,398,609,"2,881"
2012,Pedal cyclists,0 to 15 (children),13,324,484,"2,198"
2013,Pedal cyclists,0 to 15 (children),6,281,428,"1,958"
2014,Pedal cyclists,0 to 15 (children),6,279,427,"2,005"
2015,Pedal cyclists,0 to 15 (children),6,278,414,"1,929"
2016,Pedal cyclists,0 to 15 (children),8,313,414,"1,981"
2017,Pedal cyclists,0 to 15 (children),2,365,471,"2,211"
2018,Pedal cyclists,0 to 15 (children),5,329,424,"1,954"
2019,Pedal cyclists,0 to 15 (children),10,376,458,"1,994"
2020,Pedal cyclists,0 to 15 (children),9,329,394,"1,670"
2021,Pedal cyclists,0 to 15 (children),3,339,395,"1,654"
2004,Pedal cyclists,16 to 59,77,"1,476","2,292","10,445"
2005,Pedal cyclists,16 to 59,98,"1,563","2,377","10,700"
2006,Pedal cyclists,16 to 59,83,"1,659","2,479","10,955"
2007,Pedal cyclists,16 to 59,98,"1,781","2,589","11,111"
2008,Pedal cyclists,16 to 59,81,"1,883","2,724","11,609"
2009,Pedal cyclists,16 to 59,67,"1,965","2,893","12,406"
2010,Pedal cyclists,16 to 59,75,"2,061","3,031","13,005"
2011,Pedal cyclists,16 to 59,73,"2,456","3,558","14,852"
2012,Pedal cyclists,16 to 59,78,"2,656","3,806","15,292"
2013,Pedal cyclists,16 to 59,78,"2,604","3,827","15,953"
2014,Pedal cyclists,16 to 59,75,"2,827","4,205","17,564"
2015,Pedal cyclists,16 to 59,69,"2,668","3,833","15,371"
2016,Pedal cyclists,16 to 59,64,"2,745","3,612","14,848"
2017,Pedal cyclists,16 to 59,66,"2,914","3,494","14,471"
2018,Pedal cyclists,16 to 59,60,"2,950","3,498","13,835"
2019,Pedal cyclists,16 to 59,59,"2,860","3,302","13,136"
2020,Pedal cyclists,16 to 59,76,"2,955","3,327","12,607"
2021,Pedal cyclists,16 to 59,73,"3,041","3,367","12,789"
2004,Pedal cyclists,60 and over,32,221,301,921
2005,Pedal cyclists,60 and over,29,224,310,937
2006,Pedal cyclists,60 and over,32,239,324,956
2007,Pedal cyclists,60 and over,24,213,298,939
2008,Pedal cyclists,60 and over,22,218,300,937
2009,Pedal cyclists,60 and over,23,260,352,"1,014"
2010,Pedal cyclists,60 and over,29,272,357,965
2011,Pedal cyclists,60 and over,28,294,389,"1,056"
2012,Pedal cyclists,60 and over,27,318,423,"1,154"
2013,Pedal cyclists,60 and over,25,305,411,"1,136"
2014,Pedal cyclists,60 and over,32,368,492,"1,317"
2015,Pedal cyclists,60 and over,25,357,461,"1,164"
2016,Pedal cyclists,60 and over,30,377,464,"1,284"
2017,Pedal cyclists,60 and over,33,455,526,"1,342"
2018,Pedal cyclists,60 and over,34,478,558,"1,390"
2019,Pedal cyclists,60 and over,31,479,542,"1,337"
2020,Pedal cyclists,60 and over,56,650,717,"1,634"
2021,Pedal cyclists,60 and over,35,595,658,"1,588"
2004,Motorcycle users,0 to 15 (children),7,121,164,434
2005,Motorcycle users,0 to 15 (children),5,142,187,432
2006,Motorcycle users,0 to 15 (children),5,94,130,335
2007,Motorcycle users,0 to 15 (children),4,86,110,253
2008,Motorcycle users,0 to 15 (children),6,61,82,196
2009,Motorcycle users,0 to 15 (children),1,45,66,185
2010,Motorcycle users,0 to 15 (children),2,42,52,110
2011,Motorcycle users,0 to 15 (children),0,40,50,106
2012,Motorcycle users,0 to 15 (children),1,22,32,78
2013,Motorcycle users,0 to 15 (children),2,25,34,86
2014,Motorcycle users,0 to 15 (children),0,35,44,93
2015,Motorcycle users,0 to 15 (children),0,35,43,93
2016,Motorcycle users,0 to 15 (children),1,40,44,87
2017,Motorcycle users,0 to 15 (children),2,62,66,135
2018,Motorcycle users,0 to 15 (children),0,73,79,141
2019,Motorcycle users,0 to 15 (children),1,59,62,117
2020,Motorcycle users,0 to 15 (children),0,56,58,84
2021,Motorcycle users,0 to 15 (children),1,65,69,121
2004,Motorcycle users,16 to 59,557,"6,246","8,768","24,110"
2005,Motorcycle users,16 to 59,536,"6,111","8,499","23,325"
2006,Motorcycle users,16 to 59,568,"6,071","8,220","21,858"
2007,Motorcycle users,16 to 59,549,"6,280","8,393","22,032"
2008,Motorcycle users,16 to 59,465,"5,655","7,603","20,284"
2009,Motorcycle users,16 to 59,442,"5,392","7,266","19,361"
2010,Motorcycle users,16 to 59,365,"4,784","6,472","17,457"
2011,Motorcycle users,16 to 59,326,"5,190","6,971","18,852"
2012,Motorcycle users,16 to 59,297,"4,903","6,621","18,076"
2013,Motorcycle users,16 to 59,306,"4,779","6,446","17,519"
2014,Motorcycle users,16 to 59,310,"5,167","6,960","19,019"
2015,Motorcycle users,16 to 59,331,"4,917","6,642","18,524"
2016,Motorcycle users,16 to 59,282,"5,331","6,500","17,986"
2017,Motorcycle users,16 to 59,300,"5,376","6,036","16,743"
2018,Motorcycle users,16 to 59,299,"5,219","5,842","15,484"
2019,Motorcycle users,16 to 59,286,"4,981","5,451","14,877"
2020,Motorcycle users,16 to 59,241,"3,876","4,230","12,508"
2021,Motorcycle users,16 to 59,264,"4,543","4,904","14,540"
2004,Motorcycle users,60 and over,16,191,262,622
2005,Motorcycle users,60 and over,27,165,235,588
2006,Motorcycle users,60 and over,25,221,291,651
2007,Motorcycle users,60 and over,35,264,347,746
2008,Motorcycle users,60 and over,22,244,318,698
2009,Motorcycle users,60 and over,29,304,394,816
2010,Motorcycle users,60 and over,36,310,399,827
2011,Motorcycle users,60 and over,36,337,434,895
2012,Motorcycle users,60 and over,30,354,444,872
2013,Motorcycle users,60 and over,23,346,441,883
2014,Motorcycle users,60 and over,29,372,479,997
2015,Motorcycle users,60 and over,34,410,510,"1,003"
2016,Motorcycle users,60 and over,36,423,492,991
2017,Motorcycle users,60 and over,47,464,520,"1,007"
2018,Motorcycle users,60 and over,55,495,558,"1,037"
2019,Motorcycle users,60 and over,49,508,563,"1,064"
2020,Motorcycle users,60 and over,44,455,489,870
2021,Motorcycle users,60 and over,45,536,581,"1,044"
2004,Car drivers,16 to 59,873,"8,754","12,818","108,555"
2005,Car drivers,16 to 59,886,"7,972","11,924","106,265"
2006,Car drivers,16 to 59,855,"7,794","11,550","102,071"
2007,Car drivers,16 to 59,751,"7,103","10,621","96,595"
2008,Car drivers,16 to 59,670,"6,537","9,727","88,682"
2009,Car drivers,16 to 59,553,"6,003","9,045","84,634"
2010,Car drivers,16 to 59,420,"5,175","7,917","78,241"
2011,Car drivers,16 to 59,459,"4,882","7,476","72,941"
2012,Car drivers,16 to 59,380,"4,647","7,137","69,716"
2013,Car drivers,16 to 59,382,"4,358","6,659","64,082"
2014,Car drivers,16 to 59,385,"4,560","6,953","66,961"
2015,Car drivers,16 to 59,377,"4,404","6,696","65,249"
2016,Car drivers,16 to 59,385,"4,894","6,465","63,357"
2017,Car drivers,16 to 59,389,"4,850","6,111","57,916"
2018,Car drivers,16 to 59,366,"5,000","6,182","53,985"
2019,Car drivers,16 to 59,304,"5,208","6,103","51,503"
2020,Car drivers,16 to 59,322,"4,219","4,834","38,489"
2021,Car drivers,16 to 59,338,"4,850","5,433","41,818"
2004,Car drivers,60 and over,229,"1,481","2,131","12,058"
2005,Car drivers,60 and over,218,"1,399","2,052","11,858"
2006,Car drivers,60 and over,203,"1,413","2,026","11,638"
2007,Car drivers,60 and over,188,"1,250","1,860","11,251"
2008,Car drivers,60 and over,190,"1,338","1,906","10,825"
2009,Car drivers,60 and over,147,"1,292","1,871","10,767"
2010,Car drivers,60 and over,154,"1,262","1,820","10,531"
2011,Car drivers,60 and over,154,"1,277","1,856","10,682"
2012,Car drivers,60 and over,161,"1,351","1,922","10,489"
2013,Car drivers,60 and over,166,"1,282","1,855","10,340"
2014,Car drivers,60 and over,183,"1,457","2,071","11,090"
2015,Car drivers,60 and over,157,"1,386","1,972","10,529"
2016,Car drivers,60 and over,167,"1,498","1,910","10,587"
2017,Car drivers,60 and over,165,"1,491","1,856","9,949"
2018,Car drivers,60 and over,180,"1,742","2,113","10,063"
2019,Car drivers,60 and over,203,"1,707","1,993","9,711"
2020,Car drivers,60 and over,127,"1,183","1,351","6,457"
2021,Car drivers,60 and over,143,"1,386","1,566","7,537"
2004,Car passengers,0 to 15 (children),51,735,"1,153","11,813"
2005,Car passengers,0 to 15 (children),47,583,987,"10,734"
2006,Car passengers,0 to 15 (children),56,587,948,"10,036"
