Driver type,Sex [note 1],"Age group [notes 2, 3]",Severity adjustment [note 4],2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pedal cyclists,Female,Under 16,FSC (unadjusted),48,42,40,39,38,48,28,44,35,51
Pedal cyclists,Female,16,FSC (unadjusted),4,7,11,4,6,5,5,5,7,5
Pedal cyclists,Female,17-20,FSC (unadjusted),32,31,29,26,19,27,27,33,30,20
Pedal cyclists,Female,21-24,FSC (unadjusted),36,44,57,44,46,45,50,40,51,50
Pedal cyclists,Female,25-29,FSC (unadjusted),92,86,69,71,64,73,95,83,101,100
Pedal cyclists,Female,30-39,FSC (unadjusted),125,123,133,107,115,146,133,145,126,135
Pedal cyclists,Female,40-49,FSC (unadjusted),112,114,128,125,124,130,125,134,130,133
Pedal cyclists,Female,50-59,FSC (unadjusted),95,95,104,101,125,135,152,141,153,155
Pedal cyclists,Female,60-69,FSC (unadjusted),34,30,47,38,42,57,46,61,80,82
Pedal cyclists,Female,70 and over,FSC (unadjusted),16,16,19,29,14,17,27,23,34,34
Pedal cyclists,Female,All ages,FSC (unadjusted),600,600,644,595,603,692,694,716,751,776
Motorcycle riders,Female,Under 16,FSC (unadjusted),0,2,1,0,1,2,1,0,2,1
Motorcycle riders,Female,16,FSC (unadjusted),13,12,10,12,16,7,7,6,1,2
Motorcycle riders,Female,17-20,FSC (unadjusted),34,48,41,45,53,51,37,41,15,37
Motorcycle riders,Female,21-24,FSC (unadjusted),32,42,41,40,55,48,42,26,25,30
Motorcycle riders,Female,25-29,FSC (unadjusted),34,33,43,32,35,33,37,44,36,36
Motorcycle riders,Female,30-39,FSC (unadjusted),72,59,60,51,48,62,59,63,54,59
Motorcycle riders,Female,40-49,FSC (unadjusted),81,85,64,56,56,64,59,52,40,59
Motorcycle riders,Female,50-59,FSC (unadjusted),35,30,66,52,47,56,59,73,46,54
Motorcycle riders,Female,60-69,FSC (unadjusted),14,9,6,7,11,14,13,5,15,17
Motorcycle riders,Female,70 and over,FSC (unadjusted),3,2,1,2,4,4,3,4,1,2
Motorcycle riders,Female,All ages,FSC (unadjusted),321,324,333,301,330,343,321,314,238,298
Car drivers,Female,Under 16,FSC (unadjusted),2,0,0,0,1,1,0,2,1,1
Car drivers,Female,16,FSC (unadjusted),0,0,1,1,3,1,3,0,1,0
Car drivers,Female,17-20,FSC (unadjusted),584,564,493,438,522,519,547,532,418,430
Car drivers,Female,21-24,FSC (unadjusted),715,644,657,642,701,694,675,713,545,703
Car drivers,Female,25-29,FSC (unadjusted),765,761,778,797,859,883,911,951,705,768
Car drivers,Female,30-39,FSC (unadjusted),"1,443","1,294","1,430","1,297","1,537","1,500","1,683","1,742","1,209","1,588"
Car drivers,Female,40-49,FSC (unadjusted),"1,463","1,306","1,392","1,348","1,367","1,373","1,391","1,401","1,003","1,249"
Car drivers,Female,50-59,FSC (unadjusted),"1,070",964,"1,105","1,082","1,189","1,192","1,320","1,316",960,"1,135"
Car drivers,Female,60-69,FSC (unadjusted),678,623,699,620,738,685,798,800,573,653
Car drivers,Female,70 and over,FSC (unadjusted),583,618,720,638,758,818,878,917,528,664
Car drivers,Female,All ages,FSC (unadjusted),"7,506","6,973","7,487","7,074","7,872","7,824","8,355","8,555","6,065","7,337"
Bus or coach drivers,Female,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Female,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),0,0,0,0,0,0,0,1,0,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2,2,2,1,1,0,3,1,1,4
Bus or coach drivers,Female,25-29,FSC (unadjusted),7,0,2,5,0,5,6,3,1,6
Bus or coach drivers,Female,30-39,FSC (unadjusted),8,9,6,8,6,6,9,10,7,9
Bus or coach drivers,Female,40-49,FSC (unadjusted),19,16,15,16,5,25,16,25,9,6
Bus or coach drivers,Female,50-59,FSC (unadjusted),12,4,11,19,10,12,18,15,9,16
Bus or coach drivers,Female,60-69,FSC (unadjusted),3,2,3,5,1,5,6,7,2,3
Bus or coach drivers,Female,70 and over,FSC (unadjusted),0,0,0,0,1,0,1,1,0,0
Bus or coach drivers,Female,All ages,FSC (unadjusted),53,34,40,56,24,53,59,65,29,47
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),0,0,1,0,0,0,0,0,0,0
Light goods vehicle drivers,Female,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Light goods vehicle drivers,Female,17-20,FSC (unadjusted),2,0,1,2,0,0,2,1,2,1
Light goods vehicle drivers,Female,21-24,FSC (unadjusted),4,4,7,6,0,3,3,2,7,6
Light goods vehicle drivers,Female,25-29,FSC (unadjusted),6,10,5,7,7,8,10,7,11,14
Light goods vehicle drivers,Female,30-39,FSC (unadjusted),16,10,19,17,17,18,16,23,16,25
Light goods vehicle drivers,Female,40-49,FSC (unadjusted),25,15,21,23,20,21,17,20,19,25
Light goods vehicle drivers,Female,50-59,FSC (unadjusted),7,10,16,9,22,12,16,30,22,30
Light goods vehicle drivers,Female,60-69,FSC (unadjusted),4,5,7,5,4,2,8,6,6,11
Light goods vehicle drivers,Female,70 and over,FSC (unadjusted),0,1,1,2,3,1,5,2,1,9
Light goods vehicle drivers,Female,All ages,FSC (unadjusted),66,59,81,71,73,66,79,93,86,124
Heavy goods vehicle drivers,Female,Under 16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,16,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,17-20,FSC (unadjusted),0,1,0,0,0,0,0,0,0,1
Heavy goods vehicle drivers,Female,21-24,FSC (unadjusted),2,1,1,1,0,0,0,1,0,1
Heavy goods vehicle drivers,Female,25-29,FSC (unadjusted),2,1,2,0,1,1,2,1,1,2
Heavy goods vehicle drivers,Female,30-39,FSC (unadjusted),2,6,7,4,3,5,3,3,3,4
Heavy goods vehicle drivers,Female,40-49,FSC (unadjusted),5,8,9,4,9,8,7,6,2,1
Heavy goods vehicle drivers,Female,50-59,FSC (unadjusted),3,2,4,2,2,6,8,5,3,4
Heavy goods vehicle drivers,Female,60-69,FSC (unadjusted),1,0,0,2,2,1,1,1,0,0
Heavy goods vehicle drivers,Female,70 and over,FSC (unadjusted),0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,All ages,FSC (unadjusted),15,19,24,13,17,21,21,18,10,13
Other or unknown vehicle drivers,Female,Under 16,FSC (unadjusted),2,1,1,1,5,4,4,4,5,12
Other or unknown vehicle drivers,Female,16,FSC (unadjusted),1,1,1,0,0,1,0,2,2,3
Other or unknown vehicle drivers,Female,17-20,FSC (unadjusted),2,7,5,0,5,3,3,1,6,12
Other or unknown vehicle drivers,Female,21-24,FSC (unadjusted),2,3,2,3,3,6,5,7,9,13
Other or unknown vehicle drivers,Female,25-29,FSC (unadjusted),3,5,4,1,7,5,5,7,10,18
Other or unknown vehicle drivers,Female,30-39,FSC (unadjusted),18,16,10,9,6,9,12,11,17,22
Other or unknown vehicle drivers,Female,40-49,FSC (unadjusted),14,14,16,11,11,16,16,17,14,11
Other or unknown vehicle drivers,Female,50-59,FSC (unadjusted),4,11,15,8,9,10,21,11,17,13
Other or unknown vehicle drivers,Female,60-69,FSC (unadjusted),13,11,9,3,9,9,14,11,5,3
Other or unknown vehicle drivers,Female,70 and over,FSC (unadjusted),25,19,19,27,19,18,22,17,6,15
Other or unknown vehicle drivers,Female,All ages,FSC (unadjusted),88,92,86,65,80,85,103,92,91,127
All drivers and riders,Female,Under 16,FSC (unadjusted),52,45,43,40,45,55,33,50,43,65
All drivers and riders,Female,16,FSC (unadjusted),18,20,23,17,25,14,15,13,11,10
All drivers and riders,Female,17-20,FSC (unadjusted),654,651,569,511,599,600,616,609,471,502
All drivers and riders,Female,21-24,FSC (unadjusted),793,740,767,737,806,796,778,790,638,807
All drivers and riders,Female,25-29,FSC (unadjusted),909,896,903,913,973,"1,008","1,066","1,096",865,944
All drivers and riders,Female,30-39,FSC (unadjusted),"1,684","1,517","1,665","1,493","1,732","1,746","1,915","1,997","1,432","1,842"
All drivers and riders,Female,40-49,FSC (unadjusted),"1,719","1,558","1,645","1,583","1,592","1,637","1,631","1,655","1,217","1,484"
