Type of road, Speed limit ,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Motorways,70,Killed,88,100,96,108,93,99,107,105,79,103
Motorways,70,KSI (unadjusted),741,756,811,830,888,833,895,873,622,814
Motorways,70,KSI (adjusted),"1,129","1,123","1,191","1,190","1,123","1,043","1,100","1,016",697,882
Motorways,70,All casualties,"9,163","8,732","9,205","9,065","8,734","7,759","7,309","6,603","3,962","5,301"
Built up,20,Killed,9,6,28,14,30,53,49,57,54,53
Built up,20,KSI (unadjusted),348,443,530,678,"1,040","1,562","1,837","1,954","1,822","2,589"
Built up,20,KSI (adjusted),514,639,774,965,"1,379","1,855","2,125","2,161","1,944","2,713"
Built up,20,All casualties,"2,634","3,164","4,002","5,079","7,778","11,207","12,235","13,521","12,575","16,531"
Built up,30,Killed,595,538,611,539,588,577,578,561,484,501
Built up,30,KSI (unadjusted),"13,872","12,675","13,116","12,599","13,278","13,901","14,133","14,014","10,888","12,481"
Built up,30,KSI (adjusted),"20,324","18,815","19,690","18,611","17,567","16,647","16,742","16,056","12,339","13,764"
Built up,30,All casualties,"120,108","111,186","118,567","111,922","105,981","98,474","90,795","85,314","63,508","67,715"
Built up,40,Killed,173,174,144,194,171,162,179,199,141,157
Built up,40,KSI (unadjusted),"2,163","2,009","2,166","2,198","2,270","2,309","2,521","2,531","2,068","2,249"
Built up,40,KSI (adjusted),"2,981","2,792","2,996","3,026","2,788","2,755","2,961","2,874","2,321","2,495"
Built up,40,All casualties,"17,157","16,252","16,992","16,751","16,078","14,816","14,415","13,990","10,644","11,492"
Built up,All speeds,Killed,777,718,783,747,789,792,806,817,679,711
Built up,All speeds,KSI (unadjusted),"16,383","15,127","15,812","15,475","16,588","17,772","18,491","18,499","14,778","17,319"
Built up,All speeds,KSI (adjusted),"23,819","22,246","23,460","22,602","21,734","21,257","21,828","21,091","16,603","18,972"
Built up,All speeds,All casualties,"139,899","130,602","139,561","133,752","129,837","124,497","117,445","112,825","86,727","95,738"
Non built up,50,Killed,102,114,133,124,130,148,145,116,113,115
Non built up,50,KSI (unadjusted),998,"1,090","1,259","1,128","1,303","1,300","1,289","1,222","1,057","1,226"
Non built up,50,KSI (adjusted),"1,394","1,491","1,713","1,548","1,596","1,537","1,526","1,399","1,188","1,381"
Non built up,50,All casualties,"7,471","7,658","8,411","7,904","8,020","7,502","7,053","6,556","5,190","5,824"
Non built up,60,Killed,656,648,646,637,642,633,596,592,504,514
Non built up,60,KSI (unadjusted),"5,747","5,454","5,669","5,463","5,789","5,586","5,439","5,526","4,344","4,710"
Non built up,60,KSI (adjusted),"7,964","7,518","7,746","7,402","7,135","6,754","6,545","6,336","4,842","5,277"
Non built up,60,All casualties,"31,919","29,516","29,965","28,460","27,829","25,028","23,134","21,697","16,143","17,311"
Non built up,70,Killed,131,133,117,114,138,121,130,122,85,115
Non built up,70,KSI (unadjusted),918,898,993,915,"1,031",918,944,"1,000",758,852
Non built up,70,KSI (adjusted),"1,273","1,254","1,352","1,249","1,224","1,087","1,103","1,129",833,938
Non built up,70,All casualties,"7,271","7,162","7,335","7,007","6,917","6,207","5,656","5,391","3,550","4,035"
Non built up,All speeds,Killed,889,895,896,875,910,902,871,830,702,744
Non built up,All speeds,KSI (unadjusted),"7,663","7,442","7,921","7,506","8,123","7,804","7,672","7,748","6,159","6,788"
Non built up,All speeds,KSI (adjusted),"10,631","10,263","10,812","10,199","9,954","9,378","9,175","8,864","6,863","7,596"
Non built up,All speeds,All casualties,"46,661","44,336","45,711","43,371","42,766","38,737","35,843","33,644","24,883","27,170"
All road types,All speeds,Killed,"1,754","1,713","1,775","1,730","1,792","1,793","1,784","1,752","1,460","1,558"
All road types,All speeds,KSI (unadjusted),"24,787","23,325","24,544","23,811","25,602","26,409","27,058","27,125","21,562","24,921"
All road types,All speeds,KSI (adjusted),"35,579","33,632","35,464","33,990","32,816","31,678","32,102","30,976","24,166","27,450"
All road types,All speeds,All casualties,"195,723","183,670","194,477","186,189","181,384","170,993","160,597","153,158","115,584","128,209"
