driverType,Sex,ageGroup,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pedal cyclists,Female,Under 16,All collisions,380,306,289,265,262,274,221,229,222,244
Pedal cyclists,Female,16,All collisions,37,33,48,49,29,37,24,37,45,28
Pedal cyclists,Female,17-20,All collisions,222,208,220,214,202,182,154,154,149,126
Pedal cyclists,Female,21-24,All collisions,343,367,415,363,339,302,297,252,264,250
Pedal cyclists,Female,25-29,All collisions,584,582,659,586,563,548,575,545,466,466
Pedal cyclists,Female,30-39,All collisions,800,856,977,779,818,808,765,829,701,729
Pedal cyclists,Female,40-49,All collisions,634,661,757,640,617,621,612,548,535,535
Pedal cyclists,Female,50-59,All collisions,386,429,494,433,443,513,533,461,513,499
Pedal cyclists,Female,60-69,All collisions,142,128,172,137,156,143,171,190,204,218
Pedal cyclists,Female,70 and over,All collisions,56,56,59,64,46,59,58,53,74,65
Pedal cyclists,Female,All ages,All collisions,"3,685","3,701","4,170","3,616","3,544","3,555","3,483","3,371","3,237","3,237"
Motorcycle riders,Female,Under 16,All collisions,1,3,1,0,3,3,1,2,2,2
Motorcycle riders,Female,16,All collisions,90,70,67,60,75,40,33,31,16,16
Motorcycle riders,Female,17-20,All collisions,304,293,307,235,256,213,168,160,96,144
Motorcycle riders,Female,21-24,All collisions,194,195,207,221,205,172,149,144,133,149
Motorcycle riders,Female,25-29,All collisions,183,162,201,183,185,171,181,174,164,217
Motorcycle riders,Female,30-39,All collisions,298,283,297,282,249,252,228,244,248,290
Motorcycle riders,Female,40-49,All collisions,288,295,265,272,230,224,208,176,141,163
Motorcycle riders,Female,50-59,All collisions,131,120,176,143,156,157,151,164,112,126
Motorcycle riders,Female,60-69,All collisions,39,28,21,27,43,29,37,22,24,34
Motorcycle riders,Female,70 and over,All collisions,9,7,7,13,11,7,5,15,7,4
Motorcycle riders,Female,All ages,All collisions,"1,565","1,472","1,574","1,459","1,431","1,280","1,171","1,143",955,"1,154"
Car drivers,Female,Under 16,All collisions,6,5,2,3,4,4,3,7,4,2
Car drivers,Female,16,All collisions,5,3,5,5,11,9,8,5,5,3
Car drivers,Female,17-20,All collisions,"6,045","5,188","4,954","4,457","4,383","3,882","3,622","3,331","2,456","2,321"
Car drivers,Female,21-24,All collisions,"7,664","6,889","7,039","6,563","6,309","5,532","4,828","4,633","3,434","3,828"
Car drivers,Female,25-29,All collisions,"8,192","7,694","8,238","8,108","7,939","7,388","6,856","6,320","4,535","4,826"
Car drivers,Female,30-39,All collisions,"14,441","13,650","14,322","13,823","13,538","12,787","12,307","11,754","8,196","9,550"
Car drivers,Female,40-49,All collisions,"14,226","13,078","13,618","12,698","11,953","10,926","9,862","9,137","6,359","7,324"
Car drivers,Female,50-59,All collisions,"8,999","8,536","9,536","8,976","8,894","8,450","8,096","7,803","5,442","6,022"
Car drivers,Female,60-69,All collisions,"4,752","4,617","4,865","4,530","4,553","4,170","4,094","4,036","2,578","3,139"
Car drivers,Female,70 and over,All collisions,"3,363","3,460","3,799","3,609","3,708","3,797","3,708","3,675","2,275","2,689"
Car drivers,Female,All ages,All collisions,"70,470","65,834","69,245","65,602","63,788","58,930","55,268","52,632","36,585","41,198"
Bus or coach drivers,Female,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Female,16,All collisions,0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,Female,17-20,All collisions,0,3,1,2,1,6,3,6,1,1
Bus or coach drivers,Female,21-24,All collisions,17,14,13,10,15,15,15,3,7,9
Bus or coach drivers,Female,25-29,All collisions,36,22,23,29,20,28,33,29,16,18
Bus or coach drivers,Female,30-39,All collisions,99,81,70,79,76,78,72,65,47,46
Bus or coach drivers,Female,40-49,All collisions,153,154,170,119,103,125,99,106,54,46
Bus or coach drivers,Female,50-59,All collisions,97,94,110,102,87,116,114,98,56,86
Bus or coach drivers,Female,60-69,All collisions,21,14,24,20,16,23,15,30,16,13
Bus or coach drivers,Female,70 and over,All collisions,1,5,0,0,3,0,1,1,1,0
Bus or coach drivers,Female,All ages,All collisions,449,405,436,379,338,402,362,354,205,228
Light goods vehicle drivers,Female,Under 16,All collisions,0,0,1,0,0,0,0,0,1,0
Light goods vehicle drivers,Female,16,All collisions,1,0,0,0,0,0,0,0,0,0
Light goods vehicle drivers,Female,17-20,All collisions,7,9,11,11,19,6,13,5,10,5
Light goods vehicle drivers,Female,21-24,All collisions,32,42,41,43,22,38,33,36,33,37
Light goods vehicle drivers,Female,25-29,All collisions,52,53,68,69,71,48,67,60,43,62
Light goods vehicle drivers,Female,30-39,All collisions,112,108,158,99,106,117,111,116,101,128
Light goods vehicle drivers,Female,40-49,All collisions,130,123,141,167,127,114,94,103,85,113
Light goods vehicle drivers,Female,50-59,All collisions,74,75,105,100,118,102,83,110,93,110
Light goods vehicle drivers,Female,60-69,All collisions,23,23,37,30,38,23,32,39,29,43
Light goods vehicle drivers,Female,70 and over,All collisions,4,9,8,4,12,9,13,4,6,16
Light goods vehicle drivers,Female,All ages,All collisions,465,476,599,556,538,480,459,500,425,547
Heavy goods vehicle drivers,Female,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,16,All collisions,0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,Female,17-20,All collisions,1,3,2,2,1,3,1,0,1,2
Heavy goods vehicle drivers,Female,21-24,All collisions,6,6,6,3,5,6,5,6,2,4
