typeOfRoad,speedLimit,Severity,year,result
Motorways,70,Fatal,2012,80
Motorways,70,Fatal,2013,97
Motorways,70,Fatal,2014,85
Motorways,70,Fatal,2015,96
Motorways,70,Fatal,2016,87
Motorways,70,Fatal,2017,77
Motorways,70,Fatal,2018,92
Motorways,70,Fatal,2019,100
Motorways,70,Fatal,2020,76
Motorways,70,Fatal,2021,92
Motorways,70,FSC (unadjusted),2012,626
Motorways,70,FSC (unadjusted),2013,637
Motorways,70,FSC (unadjusted),2014,678
Motorways,70,FSC (unadjusted),2015,708
Motorways,70,FSC (unadjusted),2016,763
Motorways,70,FSC (unadjusted),2017,692
Motorways,70,FSC (unadjusted),2018,767
Motorways,70,FSC (unadjusted),2019,749
Motorways,70,FSC (unadjusted),2020,543
Motorways,70,FSC (unadjusted),2021,679
Motorways,70,FSC (adjusted),2012,965
Motorways,70,FSC (adjusted),2013,957
Motorways,70,FSC (adjusted),2014,"1,017"
Motorways,70,FSC (adjusted),2015,"1,022"
Motorways,70,FSC (adjusted),2016,972
Motorways,70,FSC (adjusted),2017,874
Motorways,70,FSC (adjusted),2018,943
Motorways,70,FSC (adjusted),2019,873
Motorways,70,FSC (adjusted),2020,608
Motorways,70,FSC (adjusted),2021,737
Motorways,70,All casualties,2012,"5,615"
Motorways,70,All casualties,2013,"5,397"
Motorways,70,All casualties,2014,"5,630"
Motorways,70,All casualties,2015,"5,550"
Motorways,70,All casualties,2016,"5,405"
Motorways,70,All casualties,2017,"4,778"
Motorways,70,All casualties,2018,"4,566"
Motorways,70,All casualties,2019,"4,130"
Motorways,70,All casualties,2020,"2,581"
Motorways,70,All casualties,2021,"3,388"
Built up,20,Fatal,2012,9
Built up,20,Fatal,2013,6
Built up,20,Fatal,2014,28
Built up,20,Fatal,2015,12
Built up,20,Fatal,2016,29
Built up,20,Fatal,2017,52
Built up,20,Fatal,2018,49
Built up,20,Fatal,2019,55
Built up,20,Fatal,2020,53
Built up,20,Fatal,2021,50
Built up,20,FSC (unadjusted),2012,342
Built up,20,FSC (unadjusted),2013,426
Built up,20,FSC (unadjusted),2014,520
Built up,20,FSC (unadjusted),2015,655
Built up,20,FSC (unadjusted),2016,"1,018"
Built up,20,FSC (unadjusted),2017,"1,510"
Built up,20,FSC (unadjusted),2018,"1,781"
Built up,20,FSC (unadjusted),2019,"1,901"
Built up,20,FSC (unadjusted),2020,"1,760"
Built up,20,FSC (unadjusted),2021,"2,533"
Built up,20,FSC (adjusted),2012,503
Built up,20,FSC (adjusted),2013,614
Built up,20,FSC (adjusted),2014,757
Built up,20,FSC (adjusted),2015,932
Built up,20,FSC (adjusted),2016,"1,347"
Built up,20,FSC (adjusted),2017,"1,793"
Built up,20,FSC (adjusted),2018,"2,057"
Built up,20,FSC (adjusted),2019,"2,103"
Built up,20,FSC (adjusted),2020,"1,879"
Built up,20,FSC (adjusted),2021,"2,653"
Built up,20,All casualties,2012,"2,248"
Built up,20,All casualties,2013,"2,664"
Built up,20,All casualties,2014,"3,417"
Built up,20,All casualties,2015,"4,291"
Built up,20,All casualties,2016,"6,747"
Built up,20,All casualties,2017,"9,632"
Built up,20,All casualties,2018,"10,661"
Built up,20,All casualties,2019,"11,742"
Built up,20,All casualties,2020,"11,182"
Built up,20,All casualties,2021,"14,772"
Built up,30,Fatal,2012,582
Built up,30,Fatal,2013,520
Built up,30,Fatal,2014,589
Built up,30,Fatal,2015,523
Built up,30,Fatal,2016,571
Built up,30,Fatal,2017,564
Built up,30,Fatal,2018,567
Built up,30,Fatal,2019,543
Built up,30,Fatal,2020,468
Built up,30,Fatal,2021,492
Built up,30,FSC (unadjusted),2012,"13,264"
Built up,30,FSC (unadjusted),2013,"12,085"
Built up,30,FSC (unadjusted),2014,"12,507"
Built up,30,FSC (unadjusted),2015,"11,984"
Built up,30,FSC (unadjusted),2016,"12,626"
Built up,30,FSC (unadjusted),2017,"13,276"
Built up,30,FSC (unadjusted),2018,"13,459"
Built up,30,FSC (unadjusted),2019,"13,286"
Built up,30,FSC (unadjusted),2020,"10,305"
Built up,30,FSC (unadjusted),2021,"11,791"
Built up,30,FSC (adjusted),2012,"19,460"
Built up,30,FSC (adjusted),2013,"18,003"
Built up,30,FSC (adjusted),2014,"18,842"
Built up,30,FSC (adjusted),2015,"17,757"
Built up,30,FSC (adjusted),2016,"16,745"
Built up,30,FSC (adjusted),2017,"15,888"
Built up,30,FSC (adjusted),2018,"15,941"
Built up,30,FSC (adjusted),2019,"15,224"
Built up,30,FSC (adjusted),2020,"11,687"
Built up,30,FSC (adjusted),2021,"13,018"
Built up,30,All casualties,2012,"94,928"
Built up,30,All casualties,2013,"89,424"
Built up,30,All casualties,2014,"94,931"
Built up,30,All casualties,2015,"89,549"
Built up,30,All casualties,2016,"84,923"
Built up,30,All casualties,2017,"79,494"
Built up,30,All casualties,2018,"73,408"
Built up,30,All casualties,2019,"69,234"
Built up,30,All casualties,2020,"52,204"
Built up,30,All casualties,2021,"55,798"
Built up,40,Fatal,2012,155
Built up,40,Fatal,2013,155
Built up,40,Fatal,2014,135
Built up,40,Fatal,2015,186
Built up,40,Fatal,2016,165
Built up,40,Fatal,2017,148
Built up,40,Fatal,2018,168
Built up,40,Fatal,2019,184
Built up,40,Fatal,2020,132
Built up,40,Fatal,2021,145
Built up,40,FSC (unadjusted),2012,"1,948"
Built up,40,FSC (unadjusted),2013,"1,806"
Built up,40,FSC (unadjusted),2014,"1,961"
Built up,40,FSC (unadjusted),2015,"1,951"
Built up,40,FSC (unadjusted),2016,"2,024"
Built up,40,FSC (unadjusted),2017,"2,064"
Built up,40,FSC (unadjusted),2018,"2,245"
Built up,40,FSC (unadjusted),2019,"2,242"
Built up,40,FSC (unadjusted),2020,"1,850"
Built up,40,FSC (unadjusted),2021,"1,996"
Built up,40,FSC (adjusted),2012,"2,691"
Built up,40,FSC (adjusted),2013,"2,524"
Built up,40,FSC (adjusted),2014,"2,729"
Built up,40,FSC (adjusted),2015,"2,708"
Built up,40,FSC (adjusted),2016,"2,496"
