typeOfRoad, speedLimit ,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Motorways,70,Fatal,80,97,85,96,87,77,92,100,76,92
Motorways,70,FSC (unadjusted),626,637,678,708,763,692,767,749,543,679
Motorways,70,FSC (adjusted),965,957,"1,017","1,022",972,874,943,873,608,737
Motorways,70,All casualties,"5,615","5,397","5,630","5,550","5,405","4,778","4,566","4,130","2,581","3,388"
Built up,20,Fatal,9,6,28,12,29,52,49,55,53,50
Built up,20,FSC (unadjusted),342,426,520,655,"1,018","1,510","1,781","1,901","1,760","2,533"
Built up,20,FSC (adjusted),503,614,757,932,"1,347","1,793","2,057","2,103","1,879","2,653"
Built up,20,All casualties,"2,248","2,664","3,417","4,291","6,747","9,632","10,661","11,742","11,182","14,772"
Built up,30,Fatal,582,520,589,523,571,564,567,543,468,492
Built up,30,FSC (unadjusted),"13,264","12,085","12,507","11,984","12,626","13,276","13,459","13,286","10,305","11,791"
Built up,30,FSC (adjusted),"19,460","18,003","18,842","17,757","16,745","15,888","15,941","15,224","11,687","13,018"
Built up,30,All casualties,"94,928","89,424","94,931","89,549","84,923","79,494","73,408","69,234","52,204","55,798"
Built up,40,Fatal,155,155,135,186,165,148,168,184,132,145
Built up,40,FSC (unadjusted),"1,948","1,806","1,961","1,951","2,024","2,064","2,245","2,242","1,850","1,996"
Built up,40,FSC (adjusted),"2,691","2,524","2,729","2,708","2,496","2,467","2,629","2,551","2,082","2,218"
Built up,40,All casualties,"11,860","11,448","11,949","11,729","11,360","10,517","10,147","9,952","7,806","8,495"
Built up,All speeds,Fatal,746,681,752,721,765,764,784,782,653,687
Built up,All speeds,FSC (unadjusted),"15,554","14,317","14,988","14,590","15,668","16,850","17,485","17,429","13,915","16,320"
Built up,All speeds,FSC (adjusted),"22,654","21,140","22,328","21,397","20,588","20,148","20,627","19,877","15,647","17,890"
Built up,All speeds,All casualties,"109,036","103,536","110,297","105,569","103,030","99,643","94,216","90,928","71,192","79,065"
Non built up,50,Fatal,92,109,125,114,120,140,134,111,107,110
Non built up,50,FSC (unadjusted),835,950,"1,064",959,"1,105","1,067","1,112","1,045",911,"1,073"
Non built up,50,FSC (adjusted),"1,188","1,302","1,468","1,328","1,363","1,271","1,314","1,196","1,026","1,208"
Non built up,50,All casualties,"4,972","5,125","5,534","5,302","5,339","4,945","4,773","4,432","3,616","4,031"
Non built up,60,Fatal,599,600,585,576,592,581,542,548,473,483
Non built up,60,FSC (unadjusted),"4,751","4,532","4,700","4,533","4,754","4,614","4,453","4,547","3,711","3,955"
Non built up,60,FSC (adjusted),"6,628","6,310","6,468","6,194","5,864","5,588","5,361","5,218","4,138","4,438"
Non built up,60,All casualties,"21,073","19,925","19,937","18,982","18,295","16,604","15,299","14,400","11,315","11,827"
Non built up,70,Fatal,120,121,111,109,131,114,119,117,82,102
Non built up,70,FSC (unadjusted),767,757,875,808,880,809,822,863,663,731
Non built up,70,FSC (adjusted),"1,084","1,070","1,195","1,104","1,049",955,957,970,730,807
Non built up,70,All casualties,"4,875","4,677","4,924","4,652","4,515","4,012","3,781","3,566","2,483","2,776"
Non built up,All speeds,Fatal,811,830,821,799,843,835,795,776,662,695
Non built up,All speeds,FSC (unadjusted),"6,353","6,239","6,639","6,300","6,739","6,490","6,387","6,455","5,285","5,759"
Non built up,All speeds,FSC (adjusted),"8,899","8,682","9,131","8,626","8,276","7,814","7,632","7,384","5,894","6,452"
Non built up,All speeds,All casualties,"30,920","29,727","30,395","28,936","28,149","25,561","23,853","22,398","17,414","18,634"
All road types,All speeds,Fatal,"1,637","1,608","1,658","1,616","1,695","1,676","1,671","1,658","1,391","1,474"
All road types,All speeds,FSC (unadjusted),"22,533","21,193","22,305","21,598","23,173","24,032","24,639","24,638","19,746","22,758"
All road types,All speeds,FSC (adjusted),"32,518","30,779","32,475","31,045","29,841","28,836","29,201","28,138","22,152","25,079"
All road types,All speeds,All casualties,"145,571","138,660","146,322","140,056","136,621","129,982","122,635","117,536","91,199","101,087"
